Inserted List,ORF Name,Gene Name
YPL251W,YPL251W,YPL251W
YPL252C,YPL252C,YAH1
YPL253C,YPL253C,VIK1
YPL254W,YPL254W,HFI1
YPL255W,YPL255W,BBP1
YPL256C,YPL256C,CLN2
YPL257W,YPL257W,YPL257W
YPL258C,YPL258C,THI21
YPL259C,YPL259C,APM1
YPL260W,YPL260W,CUB1
YPL261C,YPL261C,YPL261C
YPL262W,YPL262W,FUM1
YPL263C,YPL263C,KEL3
YPL264C,YPL264C,YPL264C
YPL265W,YPL265W,DIP5
YPL266W,YPL266W,DIM1
YPL267W,YPL267W,ACM1
YPL268W,YPL268W,PLC1
YPL269W,YPL269W,KAR9
YPL270W,YPL270W,MDL2
YPL271W,YPL271W,ATP15
YPL272C,YPL272C,PBI1
YPL273W,YPL273W,SAM4
YPL274W,YPL274W,SAM3
YPL275W,YPL275W,FDH2
YPL276W,YPL276W,YPL276W
YPL277C,YPL277C,YPL277C
YPL278C,YPL278C,YPL278C
YPL279C,YPL279C,FEX2
YPL280W,YPL280W,HSP32
YPL281C,YPL281C,ERR2
YPL282C,YPL282C,PAU22
YPL283C,YPL283C,YRF1-7
YPR001W,YPR001W,CIT3
YPR002W,YPR002W,PDH1
YPR003C,YPR003C,YPR003C
YPR004C,YPR004C,AIM45
YPR005C,YPR005C,HAL1
YPR006C,YPR006C,ICL2
YPR007C,YPR007C,REC8
YPR008W,YPR008W,HAA1
YPR009W,YPR009W,SUT2
YPR010C,YPR010C,RPA135
YPR011C,YPR011C,YPR011C
YPR012W,YPR012W,YPR012W
YPR013C,YPR013C,CMR3
YPR014C,YPR014C,YPR014C
YPR015C,YPR015C,YPR015C
YPR016C,YPR016C,TIF6
YPR017C,YPR017C,DSS4
YPR018W,YPR018W,RLF2
YPR019W,YPR019W,MCM4
YPR020W,YPR020W,ATP20
YPR021C,YPR021C,AGC1
YPR022C,YPR022C,SDD4
YPR023C,YPR023C,EAF3
YPR024W,YPR024W,YME1
YPR025C,YPR025C,CCL1
YPR026W,YPR026W,ATH1
YPR027C,YPR027C,YPR027C
YPR028W,YPR028W,YOP1
YPR029C,YPR029C,APL4
YPR030W,YPR030W,CSR2
YPR031W,YPR031W,NTO1
YPR032W,YPR032W,SRO7
YPR033C,YPR033C,HTS1
YPR034W,YPR034W,ARP7
YPR035W,YPR035W,GLN1
YPR036W,YPR036W,VMA13
YPR037C,YPR037C,ERV2
YPR038W,YPR038W,YPR038W
YPR039W,YPR039W,YPR039W
YPR040W,YPR040W,TIP41
YPR041W,YPR041W,TIF5
YPR042C,YPR042C,PUF2
YPR043W,YPR043W,RPL43a
YPR044C,YPR044C,YPR044C
YPR045C,YPR045C,THP3
YPR046W,YPR046W,MCM16
YPR047W,YPR047W,MSF1
YPR048W,YPR048W,TAH18
YPR049C,YPR049C,ATG11
YPR050C,YPR050C,YPR050C
YPR051W,YPR051W,MAK3
YPR052C,YPR052C,NHP6a
YPR053C,YPR053C,YPR053C
YPR054W,YPR054W,SMK1
YPR055W,YPR055W,SEC8
YPR056W,YPR056W,TFB4
YPR057W,YPR057W,BRR1
YPR058W,YPR058W,YMC1
YPR059C,YPR059C,YPR059C
YPR060C,YPR060C,ARO7
YPR061C,YPR061C,JID1
YPR062W,YPR062W,FCY1
YPR063C,YPR063C,YPR063C
YPR064W,YPR064W,YPR064W
YPR065W,YPR065W,ROX1
YPR066W,YPR066W,UBA3
YPR067W,YPR067W,ISA2
YPR068C,YPR068C,HOS1
YPR069C,YPR069C,SPE3
YPR070W,YPR070W,MED1
YPR071W,YPR071W,YPR071W
YPR072W,YPR072W,NOT5
YPR073C,YPR073C,LTP1
YPR074C,YPR074C,TKL1
YPR075C,YPR075C,OPY2
YPR076W,YPR076W,YPR076W
YPR077C,YPR077C,YPR077C
YPR078C,YPR078C,YPR078C
YPR079W,YPR079W,MRL1
YPR080W,YPR080W,TEF1
YPR081C,YPR081C,GRS2
YPR082C,YPR082C,DIB1
YPR083W,YPR083W,MDM36
YPR084W,YPR084W,YPR084W
YPR085C,YPR085C,ASA1
YPR086W,YPR086W,SUA7
YPR087W,YPR087W,VPS69
YPR088C,YPR088C,SRP54
YPR089W,YPR089W,YPR089W
YPR090W,YPR090W,YPR090W
YPR091C,YPR091C,NVJ2
YPR092W,YPR092W,YPR092W
YPR093C,YPR093C,ASR1
YPR094W,YPR094W,RDS3
YPR095C,YPR095C,SYT1
YPR096C,YPR096C,YPR096C
YPR097W,YPR097W,YPR097W
YPR098C,YPR098C,YPR098C
YPR099C,YPR099C,YPR099C
YPR100W,YPR100W,MRPL51
YPR101W,YPR101W,SNT309
YPR102C,YPR102C,RPL11a
YPR103W,YPR103W,PRE2
YPR104C,YPR104C,FHL1
YPR105C,YPR105C,COG4
YPR106W,YPR106W,ISR1
YPR107C,YPR107C,YTH1
YPR108W,YPR108W,RPN7
YPR109W,YPR109W,YPR109W
YPR110C,YPR110C,RPC40
YPR111W,YPR111W,DBF20
YPR112C,YPR112C,MRD1
YPR113W,YPR113W,PIS1
YPR114W,YPR114W,YPR114W
YPR115W,YPR115W,RGC1
YPR116W,YPR116W,RRG8
YPR117W,YPR117W,YPR117W
YPR118W,YPR118W,MRI1
YPR119W,YPR119W,CLB2
YPR120C,YPR120C,CLB5
YPR121W,YPR121W,THI22
YPR122W,YPR122W,AXL1
YPR123C,YPR123C,YPR123C
YPR124W,YPR124W,CTR1
YPR125W,YPR125W,YLH47
YPR126C,YPR126C,YPR126C
YPR127W,YPR127W,YPR127W
YPR128C,YPR128C,ANT1
YPR129W,YPR129W,SCD6
YPR130C,YPR130C,YPR130C
YPR131C,YPR131C,NAT3
YPR132W,YPR132W,RPS23b
YPR133C,YPR133C,SPN1
YPR134W,YPR134W,MSS18
YPR135W,YPR135W,CTF4
YPR136C,YPR136C,YPR136C
YPR137W,YPR137W,RRP9
YPR138C,YPR138C,MEP3
YPR139C,YPR139C,LOA1
YPR140W,YPR140W,TAZ1
YPR141C,YPR141C,KAR3
YPR142C,YPR142C,YPR142C
YPR143W,YPR143W,RRP15
YPR144C,YPR144C,NOC4
YPR145W,YPR145W,ASN1
YPR146C,YPR146C,YPR146C
YPR147C,YPR147C,YPR147C
YPR148C,YPR148C,YPR148C
YPR149W,YPR149W,NCE102
YPR150W,YPR150W,YPR150W
YPR151C,YPR151C,SUE1
YPR152C,YPR152C,URN1
YPR153W,YPR153W,24-May
YPR154W,YPR154W,PIN3
YPR155C,YPR155C,NCA2
YPR156C,YPR156C,TPO3
YPR157W,YPR157W,TDA6
YPR158W,YPR158W,CUR1
YPR159W,YPR159W,KRE6
YPR160W,YPR160W,GPH1
YPR161C,YPR161C,SGV1
YPR162C,YPR162C,ORC4
YPR163C,YPR163C,TIF3
YPR164W,YPR164W,MMS1
YPR165W,YPR165W,RHO1
YPR166C,YPR166C,MRP2
YPR167C,YPR167C,MET16
YPR168W,YPR168W,NUT2
YPR169W,YPR169W,JIP5
YPR170C,YPR170C,YPR170C
YPR171W,YPR171W,BSP1
YPR172W,YPR172W,YPR172W
YPR173C,YPR173C,VPS4
YPR174C,YPR174C,YPR174C
YPR175W,YPR175W,DPB2
YPR176C,YPR176C,BET2
YPR177C,YPR177C,YPR177C
YPR178W,YPR178W,PRP4
YPR179C,YPR179C,HDA3
YPR180W,YPR180W,AOS1
YPR181C,YPR181C,SEC23
YPR182W,YPR182W,SMX3
YPR183W,YPR183W,DPM1
YPR184W,YPR184W,GDB1
YPR185W,YPR185W,ATG13
YPR186C,YPR186C,PZF1
YPR187W,YPR187W,RPO26
YPR188C,YPR188C,MLC2
YPR189W,YPR189W,SKI3
YPR190C,YPR190C,RPC82
YPR191W,YPR191W,QCR2
YPR192W,YPR192W,AQY1
YPR193C,YPR193C,HPA2
YPR194C,YPR194C,OPT2
YPR195C,YPR195C,YPR195C
YPR196W,YPR196W,YPR196W
YPR197C,YPR197C,YPR197C
YPR198W,YPR198W,SGE1
YPR199C,YPR199C,ARR1
YPR200C,YPR200C,ARR2
YPR201W,YPR201W,ARR3
YPR202W,YPR202W,YPR202W
YPR203W,YPR203W,YPR203W
YPR204W,YPR204W,YPR204W
