Inserted List,,ORF Name,Gene Name
RUB1,,YDR139C,RUB1
MTQ2,,YDR140W,MTQ2
DOP1,,YDR141C,DOP1
PEX7,,YDR142C,PEX7
SAN1,,YDR143C,SAN1
MKC7,,YDR144C,MKC7
TAF12,,YDR145W,TAF12
SWI5,,YDR146C,SWI5
EKI1,,YDR147W,EKI1
KGD2,,YDR148C,KGD2
YDR149C,,YDR149C,YDR149C
NUM1,,YDR150W,NUM1
CTH1,,YDR151C,CTH1
GIR2,,YDR152W,GIR2
ENT5,,YDR153C,ENT5
YDR154C,,YDR154C,YDR154C
CPR1,,YDR155C,CPR1
RPA14,,YDR156W,RPA14
YDR157W,,YDR157W,YDR157W
HOM2,,YDR158W,HOM2
SAC3,,YDR159W,SAC3
SSY1,,YDR160W,SSY1
ACL4,,YDR161W,ACL4
NBP2,,YDR162C,NBP2
CWC15,,YDR163W,CWC15
SEC1,,YDR164C,SEC1
TRM82,,YDR165W,TRM82
SEC5,,YDR166C,SEC5
TAF10,,YDR167W,TAF10
CDC37,,YDR168W,CDC37
STB3,,YDR169C,STB3
SEC7,,YDR170C,SEC7
HSP42,,YDR171W,HSP42
SUP35,,YDR172W,SUP35
ARG82,,YDR173C,ARG82
HMO1,,YDR174W,HMO1
RSM24,,YDR175C,RSM24
NGG1,,YDR176W,NGG1
UBC1,,YDR177W,UBC1
SDH4,,YDR178W,SDH4
CSN9,,YDR179C,CSN9
NVJ3,,YDR179W-A,NVJ3
SCC2,,YDR180W,SCC2
SAS4,,YDR181C,SAS4
CDC1,,YDR182W,CDC1
PLP1,,YDR183W,PLP1
ATC1,,YDR184C,ATC1
UPS3,,YDR185C,UPS3
SND1,,YDR186C,SND1
YDR187C,,YDR187C,YDR187C
CCT6,,YDR188W,CCT6
SLY1,,YDR189W,SLY1
RVB1,,YDR190C,RVB1
HST4,,YDR191W,HST4
NUP42,,YDR192C,NUP42
YDR193W,,YDR193W,YDR193W
MSS116,,YDR194C,MSS116
REF2,,YDR195W,REF2
CAB5,,YDR196C,CAB5
CBS2,,YDR197W,CBS2
RKM2,,YDR198C,RKM2
YDR199W,,YDR199W,YDR199W
VPS64,,YDR200C,VPS64
SPC19,,YDR201W,SPC19
RAV2,,YDR202C,RAV2
YDR203W,,YDR203W,YDR203W
COQ4,,YDR204W,COQ4
MSC2,,YDR205W,MSC2
EBS1,,YDR206W,EBS1
UME6,,YDR207C,UME6
MSS4,,YDR208W,MSS4
YDR209C,,YDR209C,YDR209C
YDR210W,,YDR210W,YDR210W
GCD6,,YDR211W,GCD6
TCP1,,YDR212W,TCP1
UPC2,,YDR213W,UPC2
AHA1,,YDR214W,AHA1
YDR215C,,YDR215C,YDR215C
ADR1,,YDR216W,ADR1
RAD9,,YDR217C,RAD9
SPR28,,YDR218C,SPR28
MFB1,,YDR219C,MFB1
YDR220C,,YDR220C,YDR220C
GTB1,,YDR221W,GTB1
YDR222W,,YDR222W,YDR222W
CRF1,,YDR223W,CRF1
HTB1,,YDR224C,HTB1
HTA1,,YDR225W,HTA1
ADK1,,YDR226W,ADK1
SIR4,,YDR227W,SIR4
PCF11,,YDR228C,PCF11
IVY1,,YDR229W,IVY1
YDR230W,,YDR230W,YDR230W
COX20,,YDR231C,COX20
HEM1,,YDR232W,HEM1
RTN1,,YDR233C,RTN1
LYS4,,YDR234W,LYS4
PRP42,,YDR235W,PRP42
FMN1,,YDR236C,FMN1
MRPL7,,YDR237W,MRPL7
SEC26,,YDR238C,SEC26
YDR239C,,YDR239C,YDR239C
SNU56,,YDR240C,SNU56
BUD26,,YDR241W,BUD26
AMD2,,YDR242W,AMD2
PRP28,,YDR243C,PRP28
PEX5,,YDR244W,PEX5
MNN10,,YDR245W,MNN10
TRS23,,YDR246W,TRS23
VHS1,,YDR247W,VHS1
YDR248C,,YDR248C,YDR248C
YDR249C,,YDR249C,YDR249C
YDR250C,,YDR250C,YDR250C
PAM1,,YDR251W,PAM1
BTT1,,YDR252W,BTT1
MET32,,YDR253C,MET32
CHL4,,YDR254W,CHL4
RMD5,,YDR255C,RMD5
CTA1,,YDR256C,CTA1
RKM4,,YDR257C,RKM4
HSP78,,YDR258C,HSP78
YAP6,,YDR259C,YAP6
SWM1,,YDR260C,SWM1
EXG2,,YDR261C,EXG2
YDR262W,,YDR262W,YDR262W
DIN7,,YDR263C,DIN7
AKR1,,YDR264C,AKR1
PEX10,,YDR265W,PEX10
HEL2,,YDR266C,HEL2
CIA1,,YDR267C,CIA1
MSW1,,YDR268W,MSW1
YDR269C,,YDR269C,YDR269C
CCC2,,YDR270W,CCC2
YDR271C,,YDR271C,YDR271C
GLO2,,YDR272W,GLO2
DON1,,YDR273W,DON1
YDR274C,,YDR274C,YDR274C
BSC2,,YDR275W,BSC2
PMP3,,YDR276C,PMP3
MTH1,,YDR277C,MTH1
YDR278C,,YDR278C,YDR278C
RNH202,,YDR279W,RNH202
RRP45,,YDR280W,RRP45
PHM6,,YDR281C,PHM6
MRX10,,YDR282C,MRX10
GCN2,,YDR283C,GCN2
DPP1,,YDR284C,DPP1
ZIP1,,YDR285W,ZIP1
YDR286C,,YDR286C,YDR286C
INM2,,YDR287W,INM2
NSE3,,YDR288W,NSE3
RTT103,,YDR289C,RTT103
YDR290W,,YDR290W,YDR290W
HRQ1,,YDR291W,HRQ1
SRP101,,YDR292C,SRP101
SSD1,,YDR293C,SSD1
DPL1,,YDR294C,DPL1
HDA2,,YDR295C,HDA2
MHR1,,YDR296W,MHR1
SUR2,,YDR297W,SUR2
ATP5,,YDR298C,ATP5
BFR2,,YDR299W,BFR2
PRO1,,YDR300C,PRO1
CFT1,,YDR301W,CFT1
GPI11,,YDR302W,GPI11
RSC3,,YDR303C,RSC3
CPR5,,YDR304C,CPR5
HNT2,,YDR305C,HNT2
YDR306C,,YDR306C,YDR306C
PMT7,,YDR307W,PMT7
SRB7,,YDR308C,SRB7
GIC2,,YDR309C,GIC2
SUM1,,YDR310C,SUM1
TFB1,,YDR311W,TFB1
SSF2,,YDR312W,SSF2
PIB1,,YDR313C,PIB1
RAD34,,YDR314C,RAD34
IPK1,,YDR315C,IPK1
OMS1,,YDR316W,OMS1
HIM1,,YDR317W,HIM1
MCM21,,YDR318W,MCM21
YFT2,,YDR319C,YFT2
SWA2,,YDR320C,SWA2
DAD4,,YDR320C-A,DAD4
ASP1,,YDR321W,ASP1
MRPL35,,YDR322W,MRPL35
TIM11,,YDR322C-A,TIM11
PEP7,,YDR323C,PEP7
UTP4,,YDR324C,UTP4
YCG1,,YDR325W,YCG1
YSP2,,YDR326C,YSP2
YDR327W,,YDR327W,YDR327W
SKP1,,YDR328C,SKP1
PEX3,,YDR329C,PEX3
UBX5,,YDR330W,UBX5
GPI8,,YDR331W,GPI8
IRC3,,YDR332W,IRC3
RQC1,,YDR333C,RQC1
SWR1,,YDR334W,SWR1
MSN5,,YDR335W,MSN5
MRX8,,YDR336W,MRX8
MRPS28,,YDR337W,MRPS28
YDR338C,,YDR338C,YDR338C
FCF1,,YDR339C,FCF1
YDR340W,,YDR340W,YDR340W
YDR341C,,YDR341C,YDR341C
HXT7,,YDR342C,HXT7
HXT6,,YDR343C,HXT6
YDR344C,,YDR344C,YDR344C
HXT3,,YDR345C,HXT3
SVF1,,YDR346C,SVF1
MRP1,,YDR347W,MRP1
PAL1,,YDR348C,PAL1
YPS7,,YDR349C,YPS7
ATP22,,YDR350C,ATP22
SBE2,,YDR351W,SBE2
YPQ2,,YDR352W,YPQ2
TRR1,,YDR353W,TRR1
TRP4,,YDR354W,TRP4
YDR355C,,YDR355C,YDR355C
SPC110,,YDR356W,SPC110
CNL1,,YDR357C,CNL1
GGA1,,YDR358W,GGA1
EAF1,,YDR359C,EAF1
YDR360W,,YDR360W,YDR360W
BCP1,,YDR361C,BCP1
TFC6,,YDR362C,TFC6
ESC2,,YDR363W,ESC2
SEM1,,YDR363W-A,SEM1
CDC40,,YDR364C,CDC40
ESF1,,YDR365C,ESF1
YDR366C,,YDR366C,YDR366C
KEI1,,YDR367W,KEI1
YPR1,,YDR368W,YPR1
XRS2,,YDR369C,XRS2
DXO1,,YDR370C,DXO1
CTS2,,YDR371W,CTS2
VPS74,,YDR372C,VPS74
FRQ1,,YDR373W,FRQ1
PHO92,,YDR374C,PHO92
BCS1,,YDR375C,BCS1
ARH1,,YDR376W,ARH1
ATP17,,YDR377W,ATP17
LSM6,,YDR378C,LSM6
RGA2,,YDR379W,RGA2
SDH6,,YDR379C-A,SDH6
ARO10,,YDR380W,ARO10
YRA1,,YDR381W,YRA1
YDR381C-A,,YDR381C-A,YDR381C-A
RPP2b,,YDR382W,RPP2b
NKP1,,YDR383C,NKP1
ATO3,,YDR384C,ATO3
EFT2,,YDR385W,EFT2
MUS81,,YDR386W,MUS81
CIN10,,YDR387C,CIN10
RVS167,,YDR388W,RVS167
SAC7,,YDR389W,SAC7
UBA2,,YDR390C,UBA2
YDR391C,,YDR391C,YDR391C
SPT3,,YDR392W,SPT3
SHE9,,YDR393W,SHE9
RPT3,,YDR394W,RPT3
SXM1,,YDR395W,SXM1
YDR396W,,YDR396W,YDR396W
NCB2,,YDR397C,NCB2
UTP5,,YDR398W,UTP5
HPT1,,YDR399W,HPT1
URH1,,YDR400W,URH1
YDR401W,,YDR401W,YDR401W
DIT2,,YDR402C,DIT2
DIT1,,YDR403W,DIT1
RPB7,,YDR404C,RPB7
MRP20,,YDR405W,MRP20
PDR15,,YDR406W,PDR15
TRS120,,YDR407C,TRS120
ADE8,,YDR408C,ADE8
SIZ1,,YDR409W,SIZ1
STE14,,YDR410C,STE14
DFM1,,YDR411C,DFM1
RRP17,,YDR412W,RRP17
YDR413C,,YDR413C,YDR413C
ERD1,,YDR414C,ERD1
YDR415C,,YDR415C,YDR415C
SYF1,,YDR416W,SYF1
YDR417C,,YDR417C,YDR417C
RPL12b,,YDR418W,RPL12b
RAD30,,YDR419W,RAD30
HKR1,,YDR420W,HKR1
ARO80,,YDR421W,ARO80
SIP1,,YDR422C,SIP1
CAD1,,YDR423C,CAD1
DYN2,,YDR424C,DYN2
SNX41,,YDR425W,SNX41
YDR426C,,YDR426C,YDR426C
RPN9,,YDR427W,RPN9
BNA7,,YDR428C,BNA7
TIF35,,YDR429C,TIF35
CYM1,,YDR430C,CYM1
YDR431W,,YDR431W,YDR431W
NPL3,,YDR432W,NPL3
YDR433W,,YDR433W,YDR433W
GPI17,,YDR434W,GPI17
PPM1,,YDR435C,PPM1
PPZ2,,YDR436W,PPZ2
GPI19,,YDR437W,GPI19
THI74,,YDR438W,THI74
LRS4,,YDR439W,LRS4
DOT1,,YDR440W,DOT1
APT2,,YDR441C,APT2
YDR442W,,YDR442W,YDR442W
SSN2,,YDR443C,SSN2
YDR444W,,YDR444W,YDR444W
YDR445C,,YDR445C,YDR445C
ECM11,,YDR446W,ECM11
RPS17b,,YDR447C,RPS17b
ADA2,,YDR448W,ADA2
UTP6,,YDR449C,UTP6
RPS18a,,YDR450W,RPS18a
YHP1,,YDR451C,YHP1
PPN1,,YDR452W,PPN1
TSA2,,YDR453C,TSA2
GUK1,,YDR454C,GUK1
YDR455C,,YDR455C,YDR455C
NHX1,,YDR456W,NHX1
TOM1,,YDR457W,TOM1
HEH2,,YDR458C,HEH2
PFA5,,YDR459C,PFA5
TFB3,,YDR460W,TFB3
MFA1,,YDR461W,MFA1
MRPL28,,YDR462W,MRPL28
STP1,,YDR463W,STP1
SPP41,,YDR464W,SPP41
RMT2,,YDR465C,RMT2
PKH3,,YDR466W,PKH3
YDR467C,,YDR467C,YDR467C
TLG1,,YDR468C,TLG1
SDC1,,YDR469W,SDC1
UGO1,,YDR470C,UGO1
RPL27b,,YDR471W,RPL27b
TRS31,,YDR472W,TRS31
PRP3,,YDR473C,PRP3
YDR474C,,YDR474C,YDR474C
JIP4,,YDR475C,JIP4
YDR476C,,YDR476C,YDR476C
SNF1,,YDR477W,SNF1
SNM1,,YDR478W,SNM1
PEX29,,YDR479C,PEX29
DIG2,,YDR480W,DIG2
PHO8,,YDR481C,PHO8
CWC21,,YDR482C,CWC21
KRE2,,YDR483W,KRE2
VPS52,,YDR484W,VPS52
VPS72,,YDR485C,VPS72
VPS60,,YDR486C,VPS60
RIB3,,YDR487C,RIB3
PAC11,,YDR488C,PAC11
SLD5,,YDR489W,SLD5
PKH1,,YDR490C,PKH1
YDR491C,,YDR491C,YDR491C
IZH1,,YDR492W,IZH1
MZM1,,YDR493W,MZM1
RSM28,,YDR494W,RSM28
VPS3,,YDR495C,VPS3
PUF6,,YDR496C,PUF6
ITR1,,YDR497C,ITR1
SEC20,,YDR498C,SEC20
LCD1,,YDR499W,LCD1
RPL37b,,YDR500C,RPL37b
PLM2,,YDR501W,PLM2
SAM2,,YDR502C,SAM2
LPP1,,YDR503C,LPP1
SPG3,,YDR504C,SPG3
PSP1,,YDR505C,PSP1
GMC1,,YDR506C,GMC1
GIN4,,YDR507C,GIN4
GNP1,,YDR508C,GNP1
YDR509W,,YDR509W,YDR509W
SMT3,,YDR510W,SMT3
SDH7,,YDR511W,SDH7
EMI1,,YDR512C,EMI1
GRX2,,YDR513W,GRX2
YDR514C,,YDR514C,YDR514C
SLF1,,YDR515W,SLF1
EMI2,,YDR516C,EMI2
GRH1,,YDR517W,GRH1
EUG1,,YDR518W,EUG1
FPR2,,YDR519W,FPR2
URC2,,YDR520C,URC2
YDR521W,,YDR521W,YDR521W
SPS2,,YDR522C,SPS2
SPS1,,YDR523C,SPS1
AGE1,,YDR524C,AGE1
API2,,YDR525W,API2
SNA2,,YDR525W-A,SNA2
YDR526C,,YDR526C,YDR526C
RBA50,,YDR527W,RBA50
HLR1,,YDR528W,HLR1
QCR7,,YDR529C,QCR7
APA2,,YDR530C,APA2
CAB1,,YDR531W,CAB1
KRE28,,YDR532C,KRE28
HSP31,,YDR533C,HSP31
FIT1,,YDR534C,FIT1
YDR535C,,YDR535C,YDR535C
STL1,,YDR536W,STL1
YDR537C,,YDR537C,YDR537C
PAD1,,YDR538W,PAD1
FDC1,,YDR539W,FDC1
IRC4,,YDR540C,IRC4
YDR541C,,YDR541C,YDR541C
PAU10,,YDR542W,PAU10
YDR543C,,YDR543C,YDR543C
YDR544C,,YDR544C,YDR544C
YRF1-1,,YDR545W,YRF1-1
YEL077C,,YEL077C,YEL077C
YEL075W-A,,YEL075W-A,YEL075W-A
YEL075C,,YEL075C,YEL075C
YEL074W,,YEL074W,YEL074W
YEL073C,,YEL073C,YEL073C
RMD6,,YEL072W,RMD6
DLD3,,YEL071W,DLD3
DSF1,,YEL070W,DSF1
HXT13,,YEL069C,HXT13
YEL068C,,YEL068C,YEL068C
YEL067C,,YEL067C,YEL067C
HPA3,,YEL066W,HPA3
SIT1,,YEL065W,SIT1
AVT2,,YEL064C,AVT2
CAN1,,YEL063C,CAN1
NPR2,,YEL062W,NPR2
CIN8,,YEL061C,CIN8
PRB1,,YEL060C,PRB1
SOM1,,YEL059C-A,SOM1
YEL059W,,YEL059W,YEL059W
PCM1,,YEL058W,PCM1
SDD1,,YEL057C,SDD1
HAT2,,YEL056W,HAT2
POL5,,YEL055C,POL5
RPL12a,,YEL054C,RPL12a
MAK10,,YEL053C,MAK10
AFG1,,YEL052W,AFG1
VMA8,,YEL051W,VMA8
RML2,,YEL050C,RML2
PAU2,,YEL049W,PAU2
TCA17,,YEL048C,TCA17
FRD1,,YEL047C,FRD1
GLY1,,YEL046C,GLY1
YEL045C,,YEL045C,YEL045C
IES6,,YEL044W,IES6
YEL043W,,YEL043W,YEL043W
GDA1,,YEL042W,GDA1
YEF1,,YEL041W,YEF1
UTR2,,YEL040W,UTR2
CYC7,,YEL039C,CYC7
UTR4,,YEL038W,UTR4
RAD23,,YEL037C,RAD23
ANP1,,YEL036C,ANP1
UTR5,,YEL035C,UTR5
HYP2,,YEL034W,HYP2
MTC7,,YEL033W,MTC7
MCM3,,YEL032W,MCM3
SPF1,,YEL031W,SPF1
ECM10,,YEL030W,ECM10
BUD16,,YEL029C,BUD16
YEL028W,,YEL028W,YEL028W
VMA3,,YEL027W,VMA3
SNU13,,YEL026W,SNU13
YEL025C,,YEL025C,YEL025C
RIP1,,YEL024W,RIP1
YEL023C,,YEL023C,YEL023C
GEA2,,YEL022W,GEA2
URA3,,YEL021W,URA3
TIM9,,YEL020W-A,TIM9
PXP1,,YEL020C,PXP1
MMS21,,YEL019C,MMS21
EAF5,,YEL018W,EAF5
PMP2,,YEL017C-A,PMP2
GTT3,,YEL017W,GTT3
NPP2,,YEL016C,NPP2
EDC3,,YEL015W,EDC3
YEL014C,,YEL014C,YEL014C
VAC8,,YEL013W,VAC8
UBC8,,YEL012W,UBC8
GLC3,,YEL011W,GLC3
YEL010W,,YEL010W,YEL010W
GCN4,,YEL009C,GCN4
YEL008W,,YEL008W,YEL008W
MIT1,,YEL007W,MIT1
YEA6,,YEL006W,YEA6
VAB2,,YEL005C,VAB2
YEA4,,YEL004W,YEA4
GIM4,,YEL003W,GIM4
WBP1,,YEL002C,WBP1
IRC22,,YEL001C,IRC22
MNN1,,YER001W,MNN1
NOP16,,YER002W,NOP16
PMI40,,YER003C,PMI40
FMP52,,YER004W,FMP52
YND1,,YER005W,YND1
NUG1,,YER006W,NUG1
PAC2,,YER007W,PAC2
TMA20,,YER007C-A,TMA20
SEC3,,YER008C,SEC3
NTF2,,YER009W,NTF2
YER010C,,YER010C,YER010C
TIR1,,YER011W,TIR1
PRE1,,YER012W,PRE1
PRP22,,YER013W,PRP22
HEM14,,YER014W,HEM14
BUD25,,YER014C-A,BUD25
FAA2,,YER015W,FAA2
BIM1,,YER016W,BIM1
AFG3,,YER017C,AFG3
SPC25,,YER018C,SPC25
ISC1,,YER019W,ISC1
SBH2,,YER019C-A,SBH2
GPA2,,YER020W,GPA2
RPN3,,YER021W,RPN3
SRB4,,YER022W,SRB4
PRO3,,YER023W,PRO3
YAT2,,YER024W,YAT2
GCD11,,YER025W,GCD11
CHO1,,YER026C,CHO1
GAL83,,YER027C,GAL83
MIG3,,YER028C,MIG3
SMB1,,YER029C,SMB1
CHZ1,,YER030W,CHZ1
YPT31,,YER031C,YPT31
FIR1,,YER032W,FIR1
ZRG8,,YER033C,ZRG8
YER034W,,YER034W,YER034W
EDC2,,YER035W,EDC2
ARB1,,YER036C,ARB1
PHM8,,YER037W,PHM8
KRE29,,YER038C,KRE29
HVG1,,YER039C,HVG1
YER039C-A,,YER039C-A,YER039C-A
GLN3,,YER040W,GLN3
YEN1,,YER041W,YEN1
MXR1,,YER042W,MXR1
SAH1,,YER043C,SAH1
ERG28,,YER044C,ERG28
MEI4,,YER044C-A,MEI4
ACA1,,YER045C,ACA1
SPO73,,YER046W,SPO73
SAP1,,YER047C,SAP1
CAJ1,,YER048C,CAJ1
ISD11,,YER048W-A,ISD11
TPA1,,YER049W,TPA1
RSM18,,YER050C,RSM18
JHD1,,YER051W,JHD1
HOM3,,YER052C,HOM3
PIC2,,YER053C,PIC2
HIS1,,YER055C,HIS1
FCY2,,YER056C,FCY2
RPL34a,,YER056C-A,RPL34a
HMF1,,YER057C,HMF1
PET117,,YER058W,PET117
PCL6,,YER059W,PCL6
FCY21,,YER060W,FCY21
FCY22,,YER060W-A,FCY22
CEM1,,YER061C,CEM1
GPP2,,YER062C,GPP2
THO1,,YER063W,THO1
VHR2,,YER064C,VHR2
ICL1,,YER065C,ICL1
RRT13,,YER066W,RRT13
YER066C-A,,YER066C-A,YER066C-A
RGI1,,YER067W,RGI1
MOT2,,YER068W,MOT2
"ARG5,6",,YER069W,"ARG5,6"
RNR1,,YER070W,RNR1
TDA2,,YER071C,TDA2
VTC1,,YER072W,VTC1
ALD5,,YER073W,ALD5
RPS24a,,YER074W,RPS24a
YOS1,,YER074W-A,YOS1
PTP3,,YER075C,PTP3
YER076C,,YER076C,YER076C
MRX1,,YER077C,MRX1
ICP55,,YER078C,ICP55
YER079W,,YER079W,YER079W
AIM9,,YER080W,AIM9
SER3,,YER081W,SER3
UTP7,,YER082C,UTP7
GET2,,YER083C,GET2
YER084W,,YER084W,YER084W
YER085C,,YER085C,YER085C
ILV1,,YER086W,ILV1
AIM10,,YER087W,AIM10
SBH1,,YER087C-B,SBH1
DOT6,,YER088C,DOT6
PTC2,,YER089C,PTC2
TRP2,,YER090W,TRP2
MET6,,YER091C,MET6
YER091C-A,,YER091C-A,YER091C-A
IES5,,YER092W,IES5
TSC11,,YER093C,TSC11
AIM11,,YER093C-A,AIM11
PUP3,,YER094C,PUP3
RAD51,,YER095W,RAD51
SHC1,,YER096W,SHC1
YER097W,,YER097W,YER097W
UBP9,,YER098W,UBP9
PRS2,,YER099C,PRS2
UBC6,,YER100W,UBC6
AST2,,YER101C,AST2
RPS8b,,YER102W,RPS8b
SSA4,,YER103W,SSA4
RTT105,,YER104W,RTT105
NUP157,,YER105C,NUP157
MAM1,,YER106W,MAM1
GLE2,,YER107C,GLE2
FLO8,,YER109C,FLO8
KAP123,,YER110C,KAP123
SWI4,,YER111C,SWI4
LSM4,,YER112W,LSM4
TMN3,,YER113C,TMN3
BOI2,,YER114C,BOI2
SPR6,,YER115C,SPR6
SLX8,,YER116C,SLX8
RPL23b,,YER117W,RPL23b
SHO1,,YER118C,SHO1
AVT6,,YER119C,AVT6
YER119C-A,,YER119C-A,YER119C-A
SCS2,,YER120W,SCS2
YER121W,,YER121W,YER121W
GLO3,,YER122C,GLO3
YCK3,,YER123W,YCK3
DSE1,,YER124C,DSE1
RSP5,,YER125W,RSP5
NSA2,,YER126C,NSA2
LCP5,,YER127W,LCP5
VFA1,,YER128W,VFA1
SAK1,,YER129W,SAK1
COM2,,YER130C,COM2
RPS26b,,YER131W,RPS26b
PMD1,,YER132C,PMD1
GLC7,,YER133W,GLC7
YER134C,,YER134C,YER134C
YER135C,,YER135C,YER135C
GDI1,,YER136W,GDI1
YER137C,,YER137C,YER137C
YER138W-A,,YER138W-A,YER138W-A
RTR1,,YER139C,RTR1
EMP65,,YER140W,EMP65
COX15,,YER141W,COX15
MAG1,,YER142C,MAG1
DDI1,,YER143W,DDI1
UBP5,,YER144C,UBP5
FTR1,,YER145C,FTR1
LSM5,,YER146W,LSM5
SCC4,,YER147C,SCC4
SPT15,,YER148W,SPT15
PEA2,,YER149C,PEA2
SPI1,,YER150W,SPI1
UBP3,,YER151C,UBP3
YER152C,,YER152C,YER152C
PET122,,YER153C,PET122
OXA1,,YER154W,OXA1
BEM2,,YER155C,BEM2
YER156C,,YER156C,YER156C
COG3,,YER157W,COG3
YER158C,,YER158C,YER158C
BUR6,,YER159C,BUR6
SPT2,,YER161C,SPT2
RAD4,,YER162C,RAD4
GCG1,,YER163C,GCG1
CHD1,,YER164W,CHD1
PAB1,,YER165W,PAB1
DNF1,,YER166W,DNF1
BCK2,,YER167W,BCK2
CCA1,,YER168C,CCA1
RPH1,,YER169W,RPH1
ADK2,,YER170W,ADK2
RAD3,,YER171W,RAD3
BRR2,,YER172C,BRR2
RAD24,,YER173W,RAD24
GRX4,,YER174C,GRX4
TMT1,,YER175C,TMT1
ECM32,,YER176W,ECM32
BMH1,,YER177W,BMH1
PDA1,,YER178W,PDA1
DMC1,,YER179W,DMC1
ISC10,,YER180C,ISC10
YER181C,,YER181C,YER181C
FMP10,,YER182W,FMP10
FAU1,,YER183C,FAU1
TOG1,,YER184C,TOG1
PUG1,,YER185W,PUG1
YER186C,,YER186C,YER186C
YER187W,,YER187W,YER187W
YER188W,,YER188W,YER188W
YER189W,,YER189W,YER189W
YRF1-2,,YER190W,YRF1-2
YFL068W,,YFL068W,YFL068W
YFL067W,,YFL067W,YFL067W
YFL066C,,YFL066C,YFL066C
YFL065C,,YFL065C,YFL065C
YFL064C,,YFL064C,YFL064C
YFL063W,,YFL063W,YFL063W
COS4,,YFL062W,COS4
DDI2,,YFL061W,DDI2
SNO3,,YFL060C,SNO3
SNZ3,,YFL059W,SNZ3
THI5,,YFL058W,THI5
AAD16,,YFL057C,AAD16
AAD6,,YFL056C,AAD6
AGP3,,YFL055W,AGP3
AQY3,,YFL054C,AQY3
DAK2,,YFL053W,DAK2
ZNF1,,YFL052W,ZNF1
YFL051C,,YFL051C,YFL051C
ALR2,,YFL050C,ALR2
SWP82,,YFL049W,SWP82
EMP47,,YFL048C,EMP47
RGD2,,YFL047W,RGD2
FMP32,,YFL046W,FMP32
SEC53,,YFL045C,SEC53
OTU1,,YFL044C,OTU1
LAM5,,YFL042C,LAM5
FET5,,YFL041W,FET5
YFL040W,,YFL040W,YFL040W
ACT1,,YFL039C,ACT1
YPT1,,YFL038C,YPT1
TUB2,,YFL037W,TUB2
RPO41,,YFL036W,RPO41
MOB2,,YFL034C-B,MOB2
RPL22b,,YFL034C-A,RPL22b
MIL1,,YFL034W,MIL1
RIM15,,YFL033C,RIM15
YFL032W,,YFL032W,YFL032W
HAC1,,YFL031W,HAC1
AGX1,,YFL030W,AGX1
CAK1,,YFL029C,CAK1
CAF16,,YFL028C,CAF16
GYP8,,YFL027C,GYP8
STE2,,YFL026W,STE2
BST1,,YFL025C,BST1
EPL1,,YFL024C,EPL1
BUD27,,YFL023W,BUD27
FRS2,,YFL022C,FRS2
GAT1,,YFL021W,GAT1
PAU5,,YFL020C,PAU5
YFL019C,,YFL019C,YFL019C
LPD1,,YFL018C,LPD1
SMX2,,YFL017W-A,SMX2
GNA1,,YFL017C,GNA1
MDJ1,,YFL016C,MDJ1
YFL015C,,YFL015C,YFL015C
HSP12,,YFL014W,HSP12
IES1,,YFL013C,IES1
YFL012W,,YFL012W,YFL012W
HXT10,,YFL011W,HXT10
AUA1,,YFL010W-A,AUA1
WWM1,,YFL010C,WWM1
CDC4,,YFL009W,CDC4
SMC1,,YFL008W,SMC1
BLM10,,YFL007W,BLM10
YFL006W,,YFL006W,YFL006W
SEC4,,YFL005W,SEC4
VTC2,,YFL004W,VTC2
MSH4,,YFL003C,MSH4
SPB4,,YFL002C,SPB4
DEG1,,YFL001W,DEG1
LOC1,,YFR001W,LOC1
NIC96,,YFR002W,NIC96
YPI1,,YFR003C,YPI1
RPN11,,YFR004W,RPN11
SAD1,,YFR005C,SAD1
YFR006W,,YFR006W,YFR006W
YFH7,,YFR007W,YFH7
FAR7,,YFR008W,FAR7
GCN20,,YFR009W,GCN20
UBP6,,YFR010W,UBP6
MIC19,,YFR011C,MIC19
DCV1,,YFR012W,DCV1
YFR012W-A,,YFR012W-A,YFR012W-A
IOC3,,YFR013W,IOC3
CMK1,,YFR014C,CMK1
GSY1,,YFR015C,GSY1
YFR016C,,YFR016C,YFR016C
IGD1,,YFR017C,IGD1
YFR018C,,YFR018C,YFR018C
FAB1,,YFR019W,FAB1
CSS2,,YFR020W,CSS2
ATG18,,YFR021W,ATG18
ROG3,,YFR022W,ROG3
PES4,,YFR023W,PES4
LSB3,,YFR024C-A,LSB3
HIS2,,YFR025C,HIS2
ULI1,,YFR026C,ULI1
ECO1,,YFR027W,ECO1
CDC14,,YFR028C,CDC14
PTR3,,YFR029W,PTR3
MET10,,YFR030W,MET10
SMC2,,YFR031C,SMC2
RPL2a,,YFR031C-A,RPL2a
RRT5,,YFR032C,RRT5
RPL29,,YFR032C-A,RPL29
QCR6,,YFR033C,QCR6
PHO4,,YFR034C,PHO4
YFR035C,,YFR035C,YFR035C
CDC26,,YFR036W,CDC26
RSC8,,YFR037C,RSC8
IRC5,,YFR038W,IRC5
OSW7,,YFR039C,OSW7
SAP155,,YFR040W,SAP155
ERJ5,,YFR041C,ERJ5
KEG1,,YFR042W,KEG1
IRC6,,YFR043C,IRC6
DUG1,,YFR044C,DUG1
YFR045W,,YFR045W,YFR045W
CNN1,,YFR046C,CNN1
BNA6,,YFR047C,BNA6
RMD8,,YFR048W,RMD8
YMR31,,YFR049W,YMR31
